,gb_smid,stationname,brandname,stationalias,address,cross2,cityshort,dma,state,postalcode,lat,long,has_fuel,has_power,has_diesel,has_fuel_update_date,has_power_update_date,has_diesel_update_date,avgprice,price_groups,avg_wait_time,avg_wait_time_grp,wait_observed_time,observed_date
2139,151520,Chevron,Chevron,Food Mart,Old US-90,US-90,Des Allemands,New Orleans,LA,70030,29.825408,-90.465365,N,N,N,2021-09-10 15:40:58.339,2021-09-10 15:40:58.339,2021-09-10 15:40:58.339,,0.0,1.07,1,2021-09-09 12:00:00.000,2021-09-10 19:23:01.000
2140,203666,Joe's Landing,Conoco,,4811 Privateer Blvd,Flo Ln,Barataria,New Orleans,LA,70036,29.685289,-90.101811,Y,Y,Y,,,,,0.0,8.45,2,2021-09-07 16:00:00.000,2021-09-10 19:23:01.000
2141,169142,Express Food & Fuel,,,14715 LA-23,Windmill Ln,Belle Chasse,New Orleans,LA,70037,29.702507826226,-89.988125860691,Y,Y,Y,,,,,0.0,1.25,1,2021-09-07 15:00:00.000,2021-09-10 19:23:01.000
2142,67390,Murphy USA,Murphy USA,,12953 US-90,Coronado St,Boutte,New Orleans,LA,70039,29.90612,-90.370468,N,N,N,2021-09-07 19:53:56.655,2021-09-07 19:53:56.655,2021-09-07 19:53:56.655,,0.0,0.67,1,2021-09-09 22:00:00.000,2021-09-10 19:23:01.000
2143,101529,Marathon,,Ponstein's,3523 Paris Rd,E Genie St,Chalmette,New Orleans,LA,70043,29.951818595278,-89.958763718605,Y,Y,Y,2021-09-03 21:00:23.416,2021-09-03 21:00:23.417,2019-07-15 21:45:50.495,,0.0,2.94,1,2021-09-09 22:00:00.000,2021-09-10 19:23:01.000
2144,176870,RaceTrac,RaceTrac,,8130 W Judge Perez Dr,Dr Meraux Blvd,Chalmette,New Orleans,LA,70043,29.955157645271,-89.984400272369,Y,Y,Y,2021-09-09 23:08:21.927,2021-09-09 23:08:21.928,2021-09-09 23:08:21.928,2.74,2.0,2.53,1,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
2145,165072,RaceTrac,,,2713 Paris Rd,E Morales St,Chalmette,New Orleans,LA,70043,29.943458393878,-89.963036477566,Y,Y,Y,2021-09-10 00:14:01.829,2021-09-10 00:14:02.825,2021-09-10 00:14:02.341,2.74,2.0,0.96,1,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
2146,56102,Circle K,Circle K,,929 Lafayette St,10th St,Gretna,New Orleans,LA,70053,29.91273259355,-90.05842924118,N,N,Y,2021-09-02 13:22:35.214,2021-09-01 11:38:24.627,,,0.0,1.0,1,2021-09-09 22:00:00.000,2021-09-10 19:23:01.000
2147,39241,Shell,Shell,,101 Westbank Expy,Terry Pkwy,Terrytown,New Orleans,LA,70056,29.925314163342,-90.039632320404,N,N,N,2021-08-31 18:56:29.382,2021-08-31 18:56:32.814,2021-08-31 18:56:31.037,2.99,5.0,3.79,1,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
2148,56120,Discount Zone,,,2120 Lapalco Blvd,Manhattan Blvd,Harvey,New Orleans,LA,70058,29.874057333753,-90.052496194839,N,N,N,2021-09-08 13:54:39.670,2021-09-08 13:54:39.670,2021-09-08 13:54:39.670,,0.0,0.62,1,2021-09-09 21:00:00.000,2021-09-10 19:23:01.000
2149,56118,Shell,Shell,,3659 Lapalco Blvd,Woodmere Blvd,Harvey,New Orleans,LA,70058,29.872046114587,-90.082016322754,Y,Y,Y,2021-09-06 15:31:50.046,2021-09-06 15:31:50.046,2021-09-04 19:01:39.068,,0.0,1.24,1,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
2150,85268,Pelican Food Store,,,2210 Airline Hwy ,Clay St,Kenner,New Orleans,LA,70062,29.979899559442,-90.241806507111,Y,Y,Y,2021-09-06 18:53:36.646,2021-09-06 18:53:36.646,,3.29,5.0,1.02,1,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
2151,56131,Shell,Shell,Airport,1205 Airline Hwy,Airport Access Rd,Kenner,New Orleans,LA,70062,29.981405066835,-90.25496006012,N,Y,Y,2021-09-02 00:08:34.431,2021-09-05 23:45:48.760,,2.99,5.0,1.5,1,2021-09-09 22:00:00.000,2021-09-10 19:23:01.000
2152,113929,Exxon,Exxon,,1227 Veterans Blvd,Marietta Ave,Kenner,New Orleans,LA,70062,30.006258,-90.251951,N,Y,N,2021-08-31 20:05:52.947,,2021-08-31 20:05:54.447,,0.0,2.06,1,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
2153,132234,Star Gas & Cafe,,,2023-2025 Williams Blvd,21st St,Kenner,New Orleans,LA,70062,29.993282454582,-90.241986215115,Y,Y,Y,2021-09-07 18:44:36.852,2021-09-07 18:44:38.523,2021-09-07 18:44:37.731,,0.0,8.36,2,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
2154,134762,Valero,Valero,,3940 Williams Blvd,Granada,Kenner,New Orleans,LA,70065,30.028380292189,-90.238351821899,Y,N,Y,2021-09-05 17:24:44.814,2021-09-05 17:24:44.813,,,0.0,2.0,1,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
2155,56135,Shell,Shell,,2012 W Airline Hwy,Magnolia Ave,Laplace,New Orleans,LA,70068,30.074943321888,-90.50749540329,N,N,Y,2021-09-02 23:06:35.755,2021-09-02 23:06:35.755,,,0.0,2.08,1,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
2156,112403,Cheap Smokes,,,1600 W Airline Hwy,Carrollwood Ave,Laplace,New Orleans,LA,70068,30.072845020733,-90.496530532837,Y,Y,Y,2021-09-07 21:16:25.729,2021-09-07 21:16:29.882,,,0.0,1.39,1,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
2157,105581,RaceTrac,RaceTrac,131,200 W Airline Hwy,US-51,Laplace,New Orleans,LA,70068,30.067524792275,-90.481585264206,N,N,Y,2021-09-04 19:25:07.082,2021-09-04 19:25:08.068,2021-09-06 13:18:18.258,,0.0,1.59,1,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
2158,112338,Shell,Shell,LaPlace Travel Cente,4325 US Highway 51, I-10,LaPlace,New Orleans,LA,70068,30.09010887,-90.43927765,N,N,N,2021-09-02 16:38:28.814,2021-09-02 16:38:27.306,2021-09-02 16:38:29.561,,0.0,1.0,1,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
2159,112347,Stop and Save,,,805 Newport Dr,Yorktowne Dr,Laplace,New Orleans,LA,70068,30.083837,-90.479257,Y,Y,Y,2021-08-30 18:41:40.436,2021-08-30 18:41:40.436,,,0.0,1.0,1,2021-09-09 22:00:00.000,2021-09-10 19:23:01.000
2160,85035,Texaco,,,7101 Westbank Expy,Westwood Dr,Marrero,New Orleans,LA,70072,29.893071289757,-90.125535428524,N,N,N,2021-09-02 07:12:40.419,2021-09-02 07:12:40.420,2021-09-02 07:12:40.420,2.93,4.0,1.29,1,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
2161,126948,Chevron,Chevron,,4700 Lapalco Blvd,Parlange Dr,Marrero,New Orleans,LA,70072,29.874996953914,-90.09153842926,N,N,Y,2021-09-03 02:06:47.103,2021-09-01 11:59:15.582,,2.99,5.0,1.0,1,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
2162,50887,Shell,Shell,,3901 W Airline Hwy,Rosenwald St,Reserve,New Orleans,LA,70084,30.076781619957,-90.572437047958,N,N,N,2021-09-02 15:38:02.154,2021-09-02 15:38:02.154,2021-09-02 15:38:02.154,,0.0,1.43,1,2021-09-09 22:00:00.000,2021-09-10 19:23:01.000
